fecha,anio,mes,mes_nombre,mes_orden,dia_semana,hora,hora_num,franja_horaria,area,direccion_hecho,barrio_hecho,clase_de_accidente,gravedad_del_accidente,clase_de_vehiculo,clase_de_servicio,controles_de_transito,coordenada_geografica
2023-01-22,2023,1,Enero,1,Domingo,19:40:00,19.0,Noche,URBANA,CARRERA 40 CALLE 30A,MIRAFLORES,CHOQUE,CON HERIDOS,MOTOCICLETA,PARTICULAR,,POINT (-76.188199 4.078092)
2023-01-23,2023,1,Enero,1,Lunes,18:05:00,18.0,Noche,URBANA,TRANSVERSAL CARRERA 28B,SANTA RITA DEL RIO,CHOQUE,SOLO DA„OS,AUTOMOVIL,PARTICULAR,SEMAFORO,POINT (-76.192522 4.093585)
2023-01-25,2023,1,Enero,1,Miércoles,06:30:00,6.0,Mañana,URBANA,CALLE 25 CARRERA 22,CENTRO,CHOQUE,CON HERIDOS,MOTOCICLETA,PARTICULAR,SEMAFORO,POINT (-76.199945 4.086614)
2023-01-25,2023,1,Enero,1,Miércoles,12:20:00,12.0,Tarde,URBANA,CALLE 27 CARERRA 37,,CHOQUE,SOLO DA„OS,MOTOCICLETA,PARTICULAR,VERTICAL,POINT (-76.188649 4.082816)
2023-01-29,2023,1,Enero,1,Domingo,17:40:00,17.0,Tarde,URBANA,TRANSVERSAL 12 CARRERA 28B,,CHOQUE,CON HERIDOS,BUS,PUBLICO,,POINT (-76.192641 4.101851)
2023-01-30,2023,1,Enero,1,Lunes,18:00:00,18.0,Noche,URBANA,CALLE 25 ENTRE CARRERA 17 Y 16,,CHOQUE,SOLO DA„OS,AUTOMOVIL,PARTICULAR,,POINT (-76.203512 4.088284)
2023-01-31,2023,1,Enero,1,Martes,09:05:00,9.0,Mañana,URBANA,TRANSVERSAL 12 # 34-9A45,TERMINAL DE TRANSPORTE,CHOQUE,SOLO DA„OS,AUTOMOVIL,PUBLICO,VERTICAL,POINT (-76.203018 4.095381)
2023-01-31,2023,1,Enero,1,Martes,12:30:00,12.0,Tarde,URBANA,CALLE 26 CARRERA 38A,,CHOQUE,SOLO DA„OS,CAMIONETA,PARTICULAR,,POINT (-76.211365 4.088033)
2023-02-01,2023,2,Febrero,2,Miércoles,04:47:00,4.0,Madrugada,URBANA,PARQUEADERO TERMINAL DE TRANSPORTES,TERMINAL DE TRANSPORTE,CHOQUE,SOLO DA„OS,MICROBUS,PUBLICO,,POINT (-76.177918 4.09854)
2023-02-02,2023,2,Febrero,2,Jueves,11:48:00,11.0,Mañana,URBANA,CALLE 25 # 22-27,CENTRO,CHOQUE,CON HERIDOS,AUTOMOVIL,PUBLICO,SEMAFORO,POINT (-76.199715 4.086702)
2023-02-02,2023,2,Febrero,2,Jueves,21:10:00,21.0,Noche,URBANA,TRANSVERSAL 12 PUENTE RIO TULUA,,CHOQUE,CON HERIDOS,MOTOCICLETA,PARTICULAR,HORIZONTALES,POINT (-76.189423 4.100123)
2023-02-03,2023,2,Febrero,2,Viernes,11:00:00,11.0,Mañana,URBANA,CARRERA 30 CALLE 21,,CHOQUE,CON HERIDOS,CAMIONETA,PARTICULAR,SEMAFORO,POINT (-76.19287 4.088597)
2023-02-03,2023,2,Febrero,2,Viernes,21:00:00,21.0,Noche,URBANA,CALLE 27 CARRERA 26,CENTRO,CHOQUE,CON HERIDOS,MOTOCICLETA,PARTICULAR,SEMAFORO,POINT (-76.197114 4.084248)
2023-02-04,2023,2,Febrero,2,Sábado,19:10:00,19.0,Noche,URBANA,CARRERA 22 # 8-45,,CHOQUE,CON HERIDOS,MOTOCICLETA,PARTICULAR,,POINT (-76.202821 4.097957)
